trialCount,Test,Reference,A,B,answerKey,userAnswer,stepSize,rightStreak
1,117,95,95,120,3,0,3,1
2,114,95,117,95,1,0,3,1
3,111,95,95,114,3,0,3,1
4,108,95,95,111,3,0,3,1
5,105,95,108,95,1,0,3,1
6,102,95,95,105,3,0,3,1
7,99,95,102,95,1,0,3,1
8,104,95,95,99,3,2,5.466472303206998,0
9,104,95,95,104,3,0,0,1
10,109,95,95,104,3,1,5.466472303206998,0
11,109,95,109,95,1,0,0,1
12,106,95,95,109,3,0,3,2
13,106,95,106,95,1,0,0,1
14,103,95,95,106,3,0,3,2
15,108,95,95,103,3,2,5.466472303206998,0
16,108,95,108,95,1,0,0,1
17,105,95,108,95,1,0,3,2
18,105,95,95,105,3,0,0,1
19,102,95,95,105,3,0,3,2
20,102,95,102,95,1,0,0,1
21,99,95,95,102,3,0,3,2
22,99,95,99,95,1,0,0,1
23,96,95,95,99,3,0,3,2
24,101,95,96,95,1,2,5.466472303206998,0
25,101,95,95,101,3,0,0,1
26,98,95,95,101,3,0,3,2
27,98,95,95,98,3,0,0,1
28,95,95,98,95,1,0,3,2
29,100,95,95,95,2,3,5.466472303206998,0
30,100,95,95,100,3,0,0,1
31,97,95,100,95,1,0,3,2
32,97,95,97,95,1,0,0,1
33,102,95,97,95,1,2,5.466472303206998,0
34,102,95,102,95,1,0,0,1
35,99,95,95,102,3,0,3,2
36,99,95,99,95,1,0,0,1
37,96,95,95,99,3,0,3,2
38,101,95,96,95,1,2,5.466472303206998,0
39,101,95,95,101,3,0,0,1
40,98,95,95,101,3,0,3,2
41,98,95,98,95,1,0,0,1
42,95,95,98,95,1,0,3,2
43,100,95,95,95,2,3,5.466472303206998,0
44,100,95,95,100,3,0,0,1
45,97,95,95,100,3,0,3,2
46,97,95,95,97,3,0,0,1
47,94,95,95,97,3,0,3,2
48,99,95,94,95,3,1,5.466472303206998,0
49,104,95,99,95,1,2,5.466472303206998,0
50,104,95,95,104,3,0,0,1
