trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong,r
1,1.09,9.89,9.89,1.09,1,1,0,1,1,0,1
2,1.37,9.89,9.89,1.37,1,1,0,1,2,0,1
3,1.72,9.89,9.89,1.72,1,1,0,1,3,0,1
4,2.17,9.89,2.17,9.89,3,3,0,1,4,0,0
5,2.73,9.89,9.89,2.73,1,1,0,1,5,0,1
6,3.44,9.89,9.89,3.44,1,1,0,1,6,0,1
7,4.33,9.89,9.89,4.33,1,1,0,1,7,0,1
8,5.45,9.89,9.89,5.45,1,1,0,1,8,0,1
9,6.86,9.89,9.89,6.86,1,1,0,1,9,0,1
10,8.64,9.89,9.89,8.64,1,1,0,1,10,0,1
11,10.88,9.89,9.89,10.88,3,3,0,3,11,0,1
12,10.88,9.89,9.89,10.88,3,3,1,3,12,0,1
13,8.64,9.89,9.89,8.64,1,1,1,1,13,0,1
14,9.69,9.89,9.89,9.69,1,1,1,1,14,0,1
15,10.87,9.89,10.87,9.89,1,3,1,1,14,1,0
16,12.2,9.89,9.89,12.2,3,3,1,3,15,1,1
17,12.2,9.89,9.89,12.2,3,3,2,3,16,1,1
18,10.87,9.89,10.87,9.89,1,3,2,1,16,2,0
19,11.51,9.89,9.89,11.51,3,3,2,3,17,2,1
20,11.51,9.89,9.89,11.51,3,3,3,3,18,2,1
21,10.87,9.89,9.89,10.87,3,3,3,3,19,2,1
22,10.87,9.89,10.87,9.89,1,3,3,1,19,3,0
23,11.51,9.89,11.51,9.89,1,1,3,3,20,3,0
24,11.51,9.89,11.51,9.89,1,1,4,3,21,3,0
25,10.87,9.89,10.87,9.89,1,1,4,3,22,3,0
26,10.87,9.89,9.89,10.87,3,3,5,3,23,3,1
27,10.23,9.89,10.23,9.89,1,1,5,3,24,3,0
28,10.23,9.89,9.89,10.23,3,1,5,1,24,4,1
29,10.84,9.89,10.84,9.89,1,3,5,1,24,5,0
30,11.48,9.89,9.89,11.48,3,3,5,3,25,5,1
31,11.48,9.89,9.89,11.48,3,3,6,3,26,5,1
32,10.84,9.89,10.84,9.89,1,3,6,1,26,6,0
33,11.48,9.89,9.89,11.48,3,3,6,3,27,6,1
34,11.48,9.89,9.89,11.48,3,3,7,3,28,6,1
35,10.84,9.89,9.89,10.84,3,3,7,3,29,6,1
36,10.84,9.89,10.84,9.89,1,1,8,3,30,6,0
37,10.2,9.89,9.89,10.2,3,3,8,3,31,6,1
38,10.2,9.89,9.89,10.2,3,3,9,3,32,6,1
39,9.56,9.89,9.56,9.89,3,3,9,1,33,6,0
40,10.13,9.89,10.13,9.89,1,1,9,3,34,6,0
41,10.13,9.89,9.89,10.13,3,1,9,1,34,7,1
42,10.73,9.89,9.89,10.73,3,3,9,3,35,7,1
43,10.73,9.89,9.89,10.73,3,3,10,3,36,7,1
44,10.13,9.89,10.13,9.89,1,1,10,3,37,7,0
45,10.13,9.89,9.89,10.13,3,1,10,1,37,8,1
46,10.73,9.89,10.73,9.89,1,1,10,3,38,8,0
47,10.73,9.89,10.73,9.89,1,1,11,3,39,8,0
48,10.13,9.89,9.89,10.13,3,1,11,1,39,9,1
49,10.73,9.89,9.89,10.73,3,3,11,3,40,9,1
